,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
5857,30,services,married,secondary,no,-95,yes,yes,unknown,26,may,306,3,-1,0,unknown,no
5863,38,technician,divorced,tertiary,no,791,yes,no,unknown,26,may,89,2,-1,0,unknown,no
5884,32,blue-collar,divorced,secondary,no,3,yes,no,unknown,26,may,114,3,-1,0,unknown,no
5893,38,entrepreneur,divorced,tertiary,no,504,yes,no,unknown,26,may,68,3,-1,0,unknown,no
5897,39,technician,married,secondary,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no
5902,34,blue-collar,divorced,secondary,no,-566,yes,no,unknown,26,may,248,2,-1,0,unknown,no
5904,28,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,245,3,-1,0,unknown,no
5910,42,blue-collar,married,unknown,no,0,no,no,unknown,26,may,270,2,-1,0,unknown,no
5914,35,services,married,secondary,no,437,yes,no,unknown,26,may,240,1,-1,0,unknown,no
5918,54,technician,married,tertiary,no,-800,yes,no,unknown,26,may,445,2,-1,0,unknown,no
5929,46,blue-collar,married,secondary,no,494,yes,no,unknown,26,may,724,1,-1,0,unknown,no
5936,32,technician,married,secondary,no,-91,yes,no,unknown,26,may,95,2,-1,0,unknown,no
5940,54,blue-collar,married,secondary,no,-69,yes,no,unknown,26,may,135,2,-1,0,unknown,no
5945,57,services,divorced,secondary,no,1024,yes,no,unknown,26,may,360,6,-1,0,unknown,no
5948,46,technician,married,unknown,no,626,yes,no,unknown,26,may,399,2,-1,0,unknown,no
5950,35,blue-collar,married,primary,no,442,yes,no,unknown,26,may,129,3,-1,0,unknown,no
5961,28,blue-collar,married,secondary,no,339,yes,no,unknown,26,may,100,2,-1,0,unknown,no
5965,39,blue-collar,married,primary,no,879,yes,no,unknown,26,may,102,2,-1,0,unknown,no
5967,44,admin.,married,secondary,no,0,no,no,unknown,26,may,85,3,-1,0,unknown,no
5971,27,admin.,married,secondary,no,953,yes,no,unknown,26,may,340,2,-1,0,unknown,no
5975,33,management,married,tertiary,no,403,yes,no,unknown,26,may,114,2,-1,0,unknown,no
5976,30,admin.,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,-1,0,unknown,yes
5979,33,management,single,secondary,no,99,yes,no,unknown,26,may,160,11,-1,0,unknown,no
5992,31,blue-collar,married,secondary,no,27,yes,yes,unknown,26,may,109,5,-1,0,unknown,no
5993,29,technician,single,secondary,no,1612,yes,no,unknown,26,may,375,2,-1,0,unknown,no
6011,45,blue-collar,married,secondary,no,607,yes,no,unknown,26,may,398,7,-1,0,unknown,no
6014,35,blue-collar,married,secondary,no,1209,yes,no,unknown,26,may,304,3,-1,0,unknown,no
6018,54,management,single,tertiary,no,1464,yes,yes,unknown,26,may,425,4,-1,0,unknown,no
6021,26,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,-1,0,unknown,yes
6023,52,blue-collar,divorced,secondary,no,306,yes,no,unknown,26,may,63,3,-1,0,unknown,no
6028,37,blue-collar,married,primary,no,445,yes,no,unknown,26,may,159,2,-1,0,unknown,no
6036,31,blue-collar,single,secondary,no,3201,yes,no,unknown,26,may,96,5,-1,0,unknown,no
6038,59,retired,married,primary,no,0,yes,no,unknown,26,may,104,7,-1,0,unknown,no
6047,28,services,single,secondary,no,-358,yes,no,unknown,26,may,253,2,-1,0,unknown,no
6053,31,management,married,unknown,no,0,yes,no,unknown,26,may,763,6,-1,0,unknown,no
6060,37,management,single,tertiary,no,337,yes,no,unknown,26,may,777,5,-1,0,unknown,no
6074,36,blue-collar,married,secondary,no,-870,yes,no,unknown,26,may,102,2,-1,0,unknown,no
6078,38,entrepreneur,single,tertiary,no,-281,yes,no,unknown,27,may,85,16,-1,0,unknown,no
6081,36,blue-collar,married,secondary,no,3935,yes,yes,unknown,27,may,220,6,-1,0,unknown,no
6085,39,technician,married,secondary,no,7137,yes,no,unknown,27,may,151,7,-1,0,unknown,no
6087,43,management,single,secondary,no,109,yes,no,unknown,27,may,64,3,-1,0,unknown,no
6090,49,management,married,secondary,no,6758,yes,yes,unknown,27,may,67,3,-1,0,unknown,no
6101,31,management,married,tertiary,no,91,no,no,unknown,27,may,145,2,-1,0,unknown,no
6102,30,admin.,married,tertiary,no,612,yes,no,unknown,27,may,220,6,-1,0,unknown,no
6117,58,management,divorced,tertiary,no,-197,yes,no,unknown,27,may,277,4,-1,0,unknown,no
6119,43,blue-collar,married,primary,no,-124,yes,no,unknown,27,may,47,5,-1,0,unknown,no
6123,48,blue-collar,married,secondary,no,653,yes,no,unknown,27,may,24,1,-1,0,unknown,no
6124,28,services,single,tertiary,no,737,yes,yes,unknown,27,may,955,1,-1,0,unknown,no
6135,32,blue-collar,married,secondary,no,-1500,yes,no,unknown,27,may,157,2,-1,0,unknown,no
6137,32,services,married,secondary,no,-124,no,no,unknown,27,may,116,1,-1,0,unknown,no
6138,28,entrepreneur,married,secondary,no,8,yes,no,unknown,27,may,1297,1,-1,0,unknown,no
6145,45,technician,married,unknown,no,473,yes,no,unknown,27,may,147,1,-1,0,unknown,no
6147,45,blue-collar,married,secondary,no,-302,yes,no,unknown,27,may,78,1,-1,0,unknown,no
6148,31,blue-collar,married,secondary,no,557,yes,yes,unknown,27,may,185,1,-1,0,unknown,no
6151,39,housemaid,married,primary,no,-44,yes,no,unknown,27,may,228,1,-1,0,unknown,no
6157,23,admin.,married,secondary,no,836,yes,no,unknown,27,may,674,1,-1,0,unknown,no
6160,39,blue-collar,married,secondary,no,-131,yes,yes,unknown,27,may,232,1,-1,0,unknown,no
6176,56,management,divorced,tertiary,no,408,yes,no,unknown,27,may,274,1,-1,0,unknown,no
6178,34,management,married,secondary,no,-294,yes,no,unknown,27,may,532,2,-1,0,unknown,no
6182,25,blue-collar,single,secondary,no,-187,yes,yes,unknown,27,may,275,4,-1,0,unknown,no
6187,36,admin.,single,unknown,no,-69,yes,no,unknown,27,may,90,2,-1,0,unknown,no
6188,38,admin.,divorced,secondary,no,-212,yes,no,unknown,27,may,78,2,-1,0,unknown,no
6192,35,blue-collar,single,secondary,no,-482,yes,no,unknown,27,may,472,1,-1,0,unknown,no
6196,59,retired,married,secondary,no,-48,yes,no,unknown,27,may,224,1,-1,0,unknown,no
6197,26,admin.,married,secondary,no,1641,yes,no,unknown,27,may,118,1,-1,0,unknown,no
6200,31,services,married,secondary,no,-641,yes,yes,unknown,27,may,296,2,-1,0,unknown,no
6209,34,blue-collar,married,secondary,no,457,yes,yes,unknown,27,may,188,1,-1,0,unknown,no
6222,24,technician,single,tertiary,no,1954,yes,yes,unknown,27,may,78,1,-1,0,unknown,no
6225,23,blue-collar,single,primary,yes,-627,yes,yes,unknown,27,may,115,1,-1,0,unknown,no
6238,34,blue-collar,single,secondary,no,1698,yes,no,unknown,27,may,39,7,-1,0,unknown,no
6242,57,management,single,tertiary,no,33,yes,no,unknown,27,may,132,1,-1,0,unknown,no
6252,42,admin.,single,secondary,no,-847,yes,no,unknown,27,may,137,2,-1,0,unknown,no
6263,36,admin.,married,secondary,no,68,yes,yes,unknown,27,may,157,1,-1,0,unknown,no
6267,26,technician,divorced,secondary,no,21,yes,no,unknown,27,may,133,1,-1,0,unknown,no
6269,27,blue-collar,single,secondary,yes,87,yes,no,unknown,27,may,43,1,-1,0,unknown,no
6275,36,technician,married,secondary,no,474,yes,no,unknown,27,may,59,1,-1,0,unknown,no
6280,30,management,married,tertiary,no,0,yes,no,unknown,27,may,175,1,-1,0,unknown,no
6283,34,blue-collar,married,secondary,no,-76,yes,no,unknown,27,may,170,1,-1,0,unknown,no
6284,32,admin.,married,secondary,no,-370,yes,no,unknown,27,may,98,1,-1,0,unknown,no
6285,40,management,divorced,tertiary,no,290,yes,no,unknown,27,may,184,1,-1,0,unknown,no
6286,31,blue-collar,single,secondary,no,116,yes,no,unknown,27,may,261,1,-1,0,unknown,no
6290,31,services,married,secondary,no,-214,yes,no,unknown,27,may,198,1,-1,0,unknown,no
6293,34,admin.,single,secondary,no,88,yes,no,unknown,27,may,169,2,-1,0,unknown,no
6302,43,unemployed,divorced,secondary,no,700,yes,no,unknown,27,may,259,1,-1,0,unknown,no
6305,25,technician,married,unknown,no,776,yes,no,unknown,27,may,290,1,-1,0,unknown,no
6308,42,blue-collar,married,secondary,no,3052,yes,no,unknown,27,may,32,1,-1,0,unknown,no
6312,24,self-employed,single,tertiary,no,2984,yes,no,unknown,27,may,935,1,-1,0,unknown,yes
6314,49,management,married,tertiary,no,1304,yes,no,unknown,27,may,144,1,-1,0,unknown,no
6323,24,blue-collar,single,secondary,no,-438,yes,no,unknown,27,may,410,1,-1,0,unknown,no
6330,53,admin.,divorced,secondary,no,-120,yes,no,unknown,27,may,211,1,-1,0,unknown,no
6339,52,technician,married,secondary,no,2001,yes,no,unknown,27,may,95,4,-1,0,unknown,no
6346,56,retired,divorced,primary,no,-154,yes,no,unknown,27,may,127,1,-1,0,unknown,no
6347,37,entrepreneur,single,tertiary,no,-274,yes,yes,unknown,27,may,237,2,-1,0,unknown,no
6349,37,entrepreneur,married,tertiary,no,836,yes,no,unknown,27,may,129,2,-1,0,unknown,no
6359,29,self-employed,married,secondary,no,-76,yes,no,unknown,27,may,305,2,-1,0,unknown,no
6372,29,management,single,tertiary,no,941,yes,no,unknown,27,may,160,1,-1,0,unknown,no
6373,32,admin.,single,secondary,no,223,yes,yes,unknown,27,may,236,4,-1,0,unknown,no
6391,25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,-1,0,unknown,yes
6399,29,technician,single,secondary,no,156,yes,no,unknown,27,may,574,5,-1,0,unknown,no
6400,30,technician,single,tertiary,no,445,yes,no,unknown,27,may,182,1,-1,0,unknown,no
6406,32,services,single,secondary,no,259,yes,no,unknown,27,may,363,2,-1,0,unknown,no
6410,34,services,married,secondary,no,279,yes,no,unknown,27,may,498,1,-1,0,unknown,no
6412,24,technician,single,secondary,no,84,yes,no,unknown,27,may,570,1,-1,0,unknown,no
6414,25,services,married,secondary,no,4063,yes,no,unknown,27,may,64,1,-1,0,unknown,no
6423,35,technician,single,secondary,no,-229,yes,no,unknown,27,may,100,2,-1,0,unknown,no
6426,49,admin.,divorced,secondary,no,-203,yes,no,unknown,27,may,364,2,-1,0,unknown,no
6432,38,management,married,secondary,no,0,yes,no,unknown,27,may,233,2,-1,0,unknown,no
6437,24,technician,single,unknown,no,818,yes,yes,unknown,27,may,953,3,-1,0,unknown,no
6438,59,management,divorced,tertiary,no,844,no,yes,unknown,27,may,100,2,-1,0,unknown,no
6441,31,blue-collar,single,secondary,no,369,yes,yes,unknown,27,may,30,8,-1,0,unknown,no
6455,41,technician,married,secondary,no,-274,yes,no,unknown,27,may,182,3,-1,0,unknown,no
6458,30,blue-collar,single,secondary,no,-477,yes,yes,unknown,27,may,220,2,-1,0,unknown,no
6459,31,blue-collar,married,secondary,no,175,yes,no,unknown,27,may,179,5,-1,0,unknown,no
6464,36,services,single,secondary,no,-330,yes,no,unknown,27,may,256,2,-1,0,unknown,no
6465,30,management,married,secondary,no,-397,yes,no,unknown,27,may,141,3,-1,0,unknown,no
6468,34,blue-collar,married,secondary,no,-1725,yes,no,unknown,27,may,452,2,-1,0,unknown,no
6474,28,blue-collar,single,unknown,no,913,yes,no,unknown,27,may,580,2,-1,0,unknown,no
6476,36,services,single,secondary,no,9713,yes,no,unknown,27,may,72,3,-1,0,unknown,no
6477,32,management,single,tertiary,no,1410,yes,no,unknown,27,may,175,5,-1,0,unknown,no
6483,35,technician,married,secondary,no,712,yes,no,unknown,27,may,266,4,-1,0,unknown,no
6486,26,blue-collar,married,secondary,no,557,yes,yes,unknown,27,may,282,2,-1,0,unknown,no
6491,29,blue-collar,married,secondary,no,844,yes,no,unknown,27,may,157,2,-1,0,unknown,no
6492,34,admin.,single,secondary,no,0,yes,no,unknown,27,may,197,2,-1,0,unknown,no
6504,20,student,single,tertiary,no,556,yes,no,unknown,27,may,15,10,-1,0,unknown,no
6510,48,housemaid,married,primary,no,627,yes,no,unknown,27,may,21,5,-1,0,unknown,no
6511,34,blue-collar,married,primary,no,244,yes,no,unknown,27,may,15,13,-1,0,unknown,no
6518,34,blue-collar,married,secondary,no,1412,yes,yes,unknown,27,may,157,2,-1,0,unknown,no
6525,39,technician,married,primary,no,169,yes,no,unknown,27,may,133,2,-1,0,unknown,no
6526,47,admin.,married,secondary,no,-245,yes,no,unknown,27,may,145,5,-1,0,unknown,no
6529,28,technician,single,secondary,no,10865,yes,no,unknown,27,may,350,3,-1,0,unknown,no
6530,30,services,married,secondary,no,-932,no,no,unknown,27,may,349,3,-1,0,unknown,no
6531,31,blue-collar,married,secondary,no,77,yes,no,unknown,27,may,371,2,-1,0,unknown,no
6532,31,management,married,tertiary,no,1183,yes,no,unknown,27,may,676,6,-1,0,unknown,no
6536,35,blue-collar,married,primary,no,424,yes,no,unknown,27,may,177,2,-1,0,unknown,no
6568,34,blue-collar,married,primary,no,100,yes,yes,unknown,28,may,74,3,-1,0,unknown,no
6570,39,blue-collar,married,tertiary,no,206,yes,yes,unknown,28,may,153,3,-1,0,unknown,no
6571,52,admin.,married,secondary,no,-732,yes,yes,unknown,28,may,61,2,-1,0,unknown,no
6573,56,admin.,married,secondary,no,292,yes,no,unknown,28,may,228,9,-1,0,unknown,no
6575,39,management,married,tertiary,no,139,no,yes,unknown,28,may,189,7,-1,0,unknown,no
6577,32,management,married,secondary,no,350,yes,no,unknown,28,may,110,2,-1,0,unknown,no
6584,40,management,single,tertiary,no,326,yes,no,unknown,28,may,64,1,-1,0,unknown,no
6585,37,admin.,married,secondary,no,1123,no,yes,unknown,28,may,138,1,-1,0,unknown,no
6587,37,blue-collar,married,secondary,no,115,yes,yes,unknown,28,may,91,3,-1,0,unknown,no
6588,49,technician,divorced,secondary,no,181,yes,no,unknown,28,may,230,8,-1,0,unknown,no
6592,29,blue-collar,married,primary,no,1615,yes,no,unknown,28,may,551,1,-1,0,unknown,no
6596,52,admin.,single,secondary,no,1964,no,yes,unknown,28,may,332,1,-1,0,unknown,no
6598,29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,yes
6600,36,blue-collar,divorced,secondary,no,-59,yes,no,unknown,28,may,193,1,-1,0,unknown,no
6604,32,technician,single,secondary,no,719,yes,no,unknown,28,may,79,6,-1,0,unknown,no
6605,38,blue-collar,married,secondary,no,35,yes,no,unknown,28,may,130,2,-1,0,unknown,no
6607,39,technician,married,secondary,no,1427,yes,no,unknown,28,may,454,1,-1,0,unknown,no
6608,39,blue-collar,married,secondary,no,5222,yes,no,unknown,28,may,102,1,-1,0,unknown,no
6610,31,services,single,secondary,no,0,yes,no,unknown,28,may,231,2,-1,0,unknown,no
6611,33,technician,married,secondary,no,3002,yes,no,unknown,28,may,176,2,-1,0,unknown,no
6619,29,management,married,tertiary,no,16232,no,no,unknown,28,may,39,4,-1,0,unknown,no
6621,26,entrepreneur,single,secondary,no,265,yes,no,unknown,28,may,593,1,-1,0,unknown,no
6630,44,blue-collar,married,secondary,no,577,yes,no,unknown,28,may,199,3,-1,0,unknown,no
6633,30,management,single,tertiary,no,849,yes,no,unknown,28,may,261,6,-1,0,unknown,no
6635,30,services,married,unknown,no,280,yes,yes,unknown,28,may,674,2,-1,0,unknown,no
6636,29,management,single,tertiary,no,0,yes,no,unknown,28,may,112,7,-1,0,unknown,no
6637,59,management,divorced,secondary,no,0,yes,no,unknown,28,may,248,6,-1,0,unknown,no
6638,31,technician,single,secondary,no,55,no,no,unknown,28,may,350,1,-1,0,unknown,no
6639,26,blue-collar,single,secondary,no,535,yes,yes,unknown,28,may,252,1,-1,0,unknown,no
6641,37,technician,married,secondary,no,-254,yes,yes,unknown,28,may,256,2,-1,0,unknown,no
6665,31,services,single,secondary,no,605,yes,no,unknown,28,may,222,1,-1,0,unknown,no
6666,33,admin.,divorced,secondary,no,-403,yes,no,unknown,28,may,217,1,-1,0,unknown,no
6668,37,technician,single,secondary,no,779,yes,no,unknown,28,may,85,1,-1,0,unknown,no
6671,24,blue-collar,married,secondary,no,0,no,no,unknown,28,may,94,1,-1,0,unknown,no
6676,53,technician,divorced,secondary,no,45,no,no,unknown,28,may,171,6,-1,0,unknown,no
6681,33,technician,married,tertiary,no,525,yes,yes,unknown,28,may,139,1,-1,0,unknown,no
6682,32,services,single,secondary,no,284,yes,no,unknown,28,may,63,2,-1,0,unknown,no
6683,27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown,yes
6690,33,blue-collar,single,secondary,no,855,no,no,unknown,28,may,99,5,-1,0,unknown,no
6699,54,technician,married,secondary,no,1865,yes,no,unknown,28,may,125,2,-1,0,unknown,no
6702,48,admin.,single,secondary,no,1150,yes,no,unknown,28,may,357,1,-1,0,unknown,no
6706,29,management,married,tertiary,no,4050,yes,no,unknown,28,may,166,1,-1,0,unknown,no
6707,40,admin.,married,secondary,yes,-279,yes,no,unknown,28,may,143,2,-1,0,unknown,no
6712,28,blue-collar,divorced,unknown,no,101,yes,no,unknown,28,may,126,4,-1,0,unknown,no
6718,29,services,married,secondary,no,308,yes,no,unknown,28,may,75,1,-1,0,unknown,no
6726,29,blue-collar,single,primary,no,80,yes,no,unknown,28,may,678,1,-1,0,unknown,no
6731,27,technician,married,secondary,no,58,yes,no,unknown,28,may,82,1,-1,0,unknown,no
6740,45,blue-collar,married,unknown,no,-320,yes,no,unknown,28,may,204,3,-1,0,unknown,no
6747,50,blue-collar,married,primary,no,1203,yes,yes,unknown,28,may,66,7,-1,0,unknown,no
6753,52,blue-collar,married,secondary,no,310,yes,no,unknown,28,may,211,4,-1,0,unknown,no
6761,29,services,married,tertiary,no,6,yes,no,unknown,28,may,143,2,-1,0,unknown,no
6771,31,blue-collar,single,secondary,no,1686,yes,no,unknown,28,may,85,2,-1,0,unknown,no
6772,29,management,single,tertiary,no,5980,yes,no,unknown,28,may,317,1,-1,0,unknown,no
6777,40,admin.,divorced,secondary,no,-541,yes,yes,unknown,28,may,270,4,-1,0,unknown,no
6785,24,services,single,secondary,no,53,yes,yes,unknown,28,may,226,1,-1,0,unknown,no
6791,52,entrepreneur,married,primary,no,8298,yes,yes,unknown,28,may,123,18,-1,0,unknown,no
6792,27,technician,married,secondary,no,1577,yes,yes,unknown,28,may,266,2,-1,0,unknown,no
6821,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown,yes
6823,46,technician,married,secondary,no,57,no,no,unknown,28,may,796,1,-1,0,unknown,yes
6824,40,management,married,secondary,no,-240,no,yes,unknown,28,may,160,3,-1,0,unknown,no
6826,30,admin.,married,primary,no,-171,yes,no,unknown,28,may,125,2,-1,0,unknown,no
6834,41,blue-collar,single,unknown,no,2835,yes,no,unknown,28,may,53,1,-1,0,unknown,no
6855,33,blue-collar,married,secondary,no,529,yes,no,unknown,28,may,198,3,-1,0,unknown,no
6860,57,blue-collar,married,primary,no,1502,yes,no,unknown,28,may,269,2,-1,0,unknown,no
6866,29,technician,married,secondary,no,344,yes,yes,unknown,28,may,279,2,-1,0,unknown,no
6870,36,management,single,secondary,no,302,no,no,unknown,28,may,60,6,-1,0,unknown,no
6872,42,management,married,tertiary,no,479,yes,no,unknown,28,may,217,2,-1,0,unknown,no
6879,26,blue-collar,married,unknown,no,407,yes,no,unknown,28,may,346,2,-1,0,unknown,no
6880,53,management,married,tertiary,no,490,yes,no,unknown,28,may,103,2,-1,0,unknown,no
6887,32,services,single,tertiary,no,-233,yes,no,unknown,28,may,140,2,-1,0,unknown,no
6888,24,blue-collar,single,secondary,no,327,yes,no,unknown,28,may,333,2,-1,0,unknown,no
6890,43,management,married,secondary,no,373,yes,no,unknown,28,may,54,1,-1,0,unknown,no
6891,40,technician,married,secondary,no,-312,yes,no,unknown,28,may,198,1,-1,0,unknown,no
6898,29,admin.,married,secondary,no,445,yes,no,unknown,28,may,489,2,-1,0,unknown,no
6904,48,management,married,secondary,no,99,yes,no,unknown,28,may,344,1,-1,0,unknown,no
6905,47,admin.,divorced,secondary,no,-480,no,no,unknown,28,may,360,1,-1,0,unknown,no
6909,48,blue-collar,married,primary,no,134,yes,no,unknown,28,may,315,2,-1,0,unknown,no
6916,28,technician,single,secondary,no,1417,yes,no,unknown,28,may,491,1,-1,0,unknown,no
6920,33,admin.,single,primary,no,-258,yes,no,unknown,28,may,193,2,-1,0,unknown,no
6923,34,blue-collar,married,secondary,no,504,yes,no,unknown,28,may,260,2,-1,0,unknown,no
6933,35,management,single,unknown,no,137,no,no,unknown,28,may,667,3,-1,0,unknown,no
6935,57,admin.,married,secondary,no,100,no,no,unknown,28,may,23,16,-1,0,unknown,no
6948,34,management,married,tertiary,no,-304,yes,no,unknown,28,may,279,2,-1,0,unknown,no
6955,29,management,divorced,tertiary,no,415,yes,yes,unknown,28,may,449,4,-1,0,unknown,no
6956,58,retired,married,secondary,no,255,no,no,unknown,28,may,362,3,-1,0,unknown,no
6960,55,blue-collar,married,primary,no,81,yes,no,unknown,28,may,172,1,-1,0,unknown,no
6962,29,blue-collar,married,secondary,no,201,yes,no,unknown,28,may,180,2,-1,0,unknown,no
6971,45,services,married,secondary,no,692,yes,no,unknown,28,may,506,2,-1,0,unknown,no
6977,37,services,single,tertiary,no,223,yes,no,unknown,28,may,25,1,-1,0,unknown,no
6978,32,technician,single,tertiary,no,92,yes,no,unknown,28,may,116,1,-1,0,unknown,no
6979,39,services,married,secondary,no,-971,yes,yes,unknown,28,may,104,2,-1,0,unknown,no
6983,51,management,single,unknown,no,-461,yes,no,unknown,28,may,33,2,-1,0,unknown,no
6991,27,management,single,tertiary,no,3104,yes,no,unknown,28,may,160,2,-1,0,unknown,no
6997,51,blue-collar,married,primary,no,593,yes,no,unknown,28,may,157,2,-1,0,unknown,no
7003,54,technician,married,tertiary,yes,337,yes,no,unknown,28,may,302,2,-1,0,unknown,no
7006,42,technician,divorced,secondary,no,0,yes,no,unknown,28,may,471,2,-1,0,unknown,no
7007,45,technician,single,tertiary,no,5336,no,no,unknown,28,may,99,2,-1,0,unknown,no
7008,36,technician,married,secondary,yes,947,yes,no,unknown,28,may,452,2,-1,0,unknown,no
7009,40,admin.,married,secondary,no,2,no,no,unknown,28,may,187,3,-1,0,unknown,no
7010,45,admin.,married,secondary,no,935,yes,yes,unknown,28,may,22,7,-1,0,unknown,no
7014,28,admin.,married,secondary,no,22171,yes,no,unknown,28,may,85,3,-1,0,unknown,no
7015,32,self-employed,married,secondary,no,-33,yes,no,unknown,28,may,234,3,-1,0,unknown,no
7016,57,admin.,divorced,secondary,no,-140,yes,no,unknown,28,may,264,2,-1,0,unknown,no
7022,25,blue-collar,married,secondary,no,1025,yes,no,unknown,28,may,478,2,-1,0,unknown,no
7037,28,blue-collar,married,secondary,no,-717,yes,no,unknown,28,may,148,3,-1,0,unknown,no
7052,40,technician,married,secondary,no,-378,yes,no,unknown,28,may,261,2,-1,0,unknown,no
7057,45,admin.,married,secondary,no,25,yes,no,unknown,28,may,82,4,-1,0,unknown,no
7059,25,blue-collar,married,secondary,no,758,yes,no,unknown,28,may,504,3,-1,0,unknown,no
7065,31,technician,single,secondary,no,335,yes,no,unknown,28,may,87,5,-1,0,unknown,no
7072,39,services,single,secondary,no,300,yes,yes,unknown,28,may,180,2,-1,0,unknown,no
7077,46,blue-collar,divorced,primary,no,571,yes,yes,unknown,29,may,93,1,-1,0,unknown,no
7085,41,blue-collar,married,secondary,no,1020,yes,no,unknown,29,may,276,1,-1,0,unknown,no
7088,59,technician,married,primary,no,4243,yes,no,unknown,29,may,233,1,-1,0,unknown,no
7089,48,blue-collar,married,secondary,no,48,yes,yes,unknown,29,may,144,1,-1,0,unknown,no
7108,36,technician,single,unknown,no,0,yes,no,unknown,29,may,148,1,-1,0,unknown,no
7111,37,blue-collar,married,secondary,no,-4,yes,yes,unknown,29,may,381,1,-1,0,unknown,no
7120,40,blue-collar,married,secondary,no,327,yes,no,unknown,29,may,134,1,-1,0,unknown,no
7129,52,technician,single,tertiary,no,1308,yes,no,unknown,29,may,361,1,-1,0,unknown,no
7142,38,retired,single,secondary,no,44,no,no,unknown,29,may,148,1,-1,0,unknown,no
7146,36,entrepreneur,married,tertiary,no,1423,yes,no,unknown,29,may,193,1,-1,0,unknown,no
7152,34,technician,divorced,tertiary,no,1242,yes,no,unknown,29,may,578,3,-1,0,unknown,no
7155,51,blue-collar,married,secondary,no,2237,yes,no,unknown,29,may,619,1,-1,0,unknown,no
7156,58,retired,married,secondary,no,32948,no,no,unknown,29,may,364,2,-1,0,unknown,no
7157,35,blue-collar,married,secondary,no,765,yes,no,unknown,29,may,418,8,-1,0,unknown,no
7158,45,technician,single,tertiary,no,1403,yes,no,unknown,29,may,111,1,-1,0,unknown,no
7160,50,self-employed,married,secondary,no,6174,yes,yes,unknown,29,may,456,1,-1,0,unknown,no
7173,45,technician,married,secondary,no,0,yes,no,unknown,29,may,155,1,-1,0,unknown,no
7174,56,admin.,married,secondary,no,1504,yes,no,unknown,29,may,66,2,-1,0,unknown,no
7175,36,blue-collar,married,secondary,no,722,yes,no,unknown,29,may,103,7,-1,0,unknown,no
7179,56,blue-collar,married,primary,no,551,no,no,unknown,29,may,27,1,-1,0,unknown,no
7181,29,unknown,single,unknown,no,209,no,no,unknown,29,may,346,6,-1,0,unknown,no
7185,35,self-employed,married,secondary,no,0,yes,no,unknown,29,may,633,6,-1,0,unknown,no
7187,33,technician,single,tertiary,no,538,yes,no,unknown,29,may,359,2,-1,0,unknown,no
7206,29,management,married,tertiary,no,1474,yes,yes,unknown,29,may,79,3,-1,0,unknown,no
7209,36,technician,married,secondary,no,1286,yes,yes,unknown,29,may,152,1,-1,0,unknown,no
7210,34,technician,married,tertiary,no,285,yes,yes,unknown,29,may,223,4,-1,0,unknown,no
7216,46,technician,married,secondary,no,1307,yes,no,unknown,29,may,404,1,-1,0,unknown,no
7217,44,blue-collar,married,secondary,no,6491,yes,no,unknown,29,may,244,1,-1,0,unknown,no
7220,51,technician,married,secondary,no,2402,yes,no,unknown,29,may,118,1,-1,0,unknown,no
7224,52,retired,married,secondary,no,1052,yes,no,unknown,29,may,35,1,-1,0,unknown,no
7226,41,management,married,secondary,no,689,yes,no,unknown,29,may,596,1,-1,0,unknown,no
7227,47,unemployed,married,secondary,no,351,yes,yes,unknown,29,may,370,1,-1,0,unknown,no
7231,39,technician,divorced,secondary,no,1270,yes,no,unknown,29,may,245,4,-1,0,unknown,no
7232,30,services,married,secondary,no,699,yes,no,unknown,29,may,544,1,-1,0,unknown,no
7235,51,management,married,tertiary,no,0,yes,yes,unknown,29,may,410,5,-1,0,unknown,no
7243,41,technician,married,tertiary,no,816,yes,yes,unknown,29,may,159,1,-1,0,unknown,no
7249,47,blue-collar,married,secondary,no,7985,yes,no,unknown,29,may,347,1,-1,0,unknown,no
7251,41,blue-collar,single,unknown,no,961,yes,no,unknown,29,may,117,1,-1,0,unknown,no
7255,31,technician,married,tertiary,no,8,no,no,unknown,29,may,71,5,-1,0,unknown,no
7266,54,management,married,tertiary,no,2452,yes,no,unknown,29,may,80,3,-1,0,unknown,no
7271,35,technician,married,secondary,no,295,yes,no,unknown,29,may,882,2,-1,0,unknown,no
7277,35,blue-collar,married,secondary,no,628,yes,no,unknown,29,may,455,2,-1,0,unknown,no
7282,50,services,divorced,secondary,no,28,yes,yes,unknown,29,may,313,2,-1,0,unknown,no
7287,44,management,married,secondary,no,27,yes,no,unknown,29,may,158,1,-1,0,unknown,no
7293,37,blue-collar,married,secondary,no,672,yes,no,unknown,29,may,129,2,-1,0,unknown,no
7295,33,blue-collar,married,secondary,no,-416,yes,no,unknown,29,may,431,2,-1,0,unknown,no
7300,53,blue-collar,married,unknown,no,1202,yes,no,unknown,29,may,332,2,-1,0,unknown,no
